Gene_ID	pol.CT_1	pol.CT_2	pol.CT_3	pol.CT_4	pol.LTMH_1	pol.LTMH_2	pol.LTMH_3	pol.LTMH_4
Solyc00g007160.2	1.5476406441332	3.28959153123017	0	2.05426508421152	4.60793960456638	4.5789492946721	4.71902993730016	4.0857553624405
Solyc00g009030.2	1.5476406441332	4.1359726353905	2.20039844934022	2.64513294951303	4.95730219076722	4.81064070422467	5.57822517938323	6.73966968933548
Solyc00g009090.3	3.75510261809764	3.77397983605569	3.03423776552297	2.64513294951303	4.50556819909039	4.5789492946721	4.35685877959154	4.32020459889825
Solyc00g013130.3	2.95081424712993	2.29322048352808	3.94338224617056	3.38680549275882	2.11794653901589	1.62378920978882	0.981492919853605	0.999093153509142
Solyc00g013160.2	3.75510261809764	4.05362934585805	5.00745906973055	4.6539459191088	3.92583005198717	3.51212201100175	2.77548161884267	2.80579997890141
Solyc00g013170.1	4.75305462350012	4.66586540744367	3.94338224617056	4.59241803394818	2.77532959137479	2.04360739194076	3.13685757464899	3.16831243560132
Solyc00g022103.1	7.67184029155952	7.83454571465691	8.02190445305034	8.18539805943364	6.85076085850562	6.22699225993379	6.09256739677043	6.64206008034248
Solyc00g023710.1	0	0	0	0	2.37182250742997	2.04360739194076	0.981492919853605	1.58375324535046
Solyc00g025290.1	4.85245366065335	4.48917020039135	4.89571466283359	4.52814876680307	3.56772298143431	3.75392588815393	1.97214958240244	3.58329951314294
Solyc00g059100.3	6.3705816071374	6.48798317956228	5.95728930144905	6.39296014956346	7.15123951337111	7.43255288011459	7.22977692374672	7.75308164342585
Solyc00g071180.3	12.675188421564	11.025413571154	11.3132316486286	14.4017020836314	15.0998282845798	15.7651862258607	16.1862196691383	15.2680794933071
Solyc00g075035.1	4.11676283656265	3.77397983605569	4.41803393467556	3.38680549275882	2.37182250742997	2.63333478601321	1.560233257141	0
Solyc00g100880.3	0.972099512732253	0	1.13664259087102	0	1.41704414490112	2.85708571990713	3.42560378008731	2.32047686676436
Solyc00g126010.1	4.11676283656265	4.21386878113049	4.49674199152222	4.71295675149297	3.09029494216438	1.62378920978882	3.13685757464899	1.58375324535046
Solyc00g209460.2	2.27702459240898	1.97310344742273	3.55927004592052	2.86920818755249	3.92583005198717	3.86115359894947	4.05242646552453	3.90519735414208
Solyc00g272810.1	0	0	0	0	2.37182250742997	4.05430635623781	2.9674551238935	2.80579997890141
Solyc01g005040.3	0	1.97310344742273	2.20039844934022	2.64513294951303	0	0	0	0
Solyc01g005270.3	6.19233224508738	6.24989448818261	6.28013978411995	5.79850548102017	4.91798640988915	4.86318324530905	5.3212175349666	5.20768816641992
Solyc01g005280.3	5.92184059268868	5.5794783924719	6.09014422612439	6.46339125608336	4.27606196603202	4.5789492946721	4.60811033410006	5.04263486720636
Solyc01g005665.1	0.972099512732253	0.982124795340574	0	0	4.07626782484745	3.51212201100175	3.66608520579857	3.80567032462396
Solyc01g005730.3	4.53100373655297	4.87212964922203	5.11116701657018	5.39208251877206	6.13587752894964	6.34253009722635	6.28514510574367	5.49007917472614
Solyc01g005760.3	0.972099512732253	0	0	0	1.41704414490112	2.85708571990713	2.29220172655224	1.58375324535046
Solyc01g005870.2	4.53100373655297	4.66586540744367	5.00745906973055	5.31798952407497	6.41538863374565	5.93953665378035	6.13319441065761	4.64211454076746
Solyc01g005920.2	6.40373329139441	6.15434880462708	6.71816727409771	7.11577176084374	10.2920728062905	7.11271109660909	7.26676492811998	8.69862981872378
Solyc01g006240.3	2.7591899061098	2.29322048352808	3.69898245370211	2.86920818755249	3.92583005198717	4.22462609591913	4.28655919387769	4.45769987130461
Solyc01g006390.2	9.64415758190183	8.91829508270278	8.71198334961255	10.8872535201941	12.104089875573	11.8313902662169	12.2846808058974	11.3144679803053
Solyc01g006400.3	15.7364655156935	15.3707958648208	15.8442102051707	16.5508043726701	17.2148567947113	17.0720713546981	17.3403966975124	16.6514507054331
Solyc01g006450.3	11.6993875673391	11.6631749134682	11.7130965276852	11.37452030565	10.4605878936959	10.4976451733983	10.4344471314658	10.5727804544023
Solyc01g006560.3	3.40829517847894	4.91939622764855	4.24643188005551	4.76964840372277	3.6659212014111	3.37410099629716	3.42560378008731	3.32029536056294
Solyc01g006660.2	0.972099512732253	1.56107933641882	2.53474645557385	1.63329794861617	3.34866877955461	3.05074884342316	3.87214973358392	3.80567032462396
Solyc01g008420.3	2.53815734489601	3.87334234984459	3.23125002353741	3.97411572166815	1.80964800363554	2.04360739194076	0	0.999093153509142
Solyc01g008620.3	0	0	0	0	2.11794653901589	0	3.42560378008731	3.16831243560132
Solyc01g009190.2	0.972099512732253	0.982124795340574	0	0	4.33695106074804	5.18551692704573	4.77144748422797	4.85622933056424
Solyc01g009240.3	4.85245366065335	6.35677634449915	5.46443143277	6.13695100030244	8.46536161605809	7.29588424299928	6.80856352611436	8.26028649536402
Solyc01g009430.3	6.43614026391174	6.47222021354829	6.01190794252249	8.09400714565335	5.78887608970636	5.70057665363201	5.71833155883207	6.44115009905335
Solyc01g009590.3	10.8086395232487	12.7746020380596	10.9883841060419	9.94373952481186	15.8151775739013	12.5945784640364	12.0942892195476	14.3177873903085
Solyc01g010420.3	1.5476406441332	1.56107933641882	0	1.03640255619063	4.65652414772893	5.58018371213071	4.13476547714026	3.6987650945271
Solyc01g010490.3	2.53815734489601	0	1.13664259087102	3.06311409111714	0	0	0	0
Solyc01g010530.1	6.73858228249046	6.45628311617324	6.44800067850099	5.74295841716821	7.17644779790887	7.22738624358305	7.54037174525847	8.00942002849396
Solyc01g010933.1	1.5476406441332	0	1.13664259087102	2.05426508421152	3.56772298143431	3.75392588815393	3.66608520579857	3.16831243560132
Solyc01g017600.3	10.1507117325855	10.2237983081741	10.2626305114446	9.5168233537279	8.85182528121541	8.58908329920985	8.64231748492605	8.92300197563727
Solyc01g020360.1	0	0.982124795340574	0	0	3.46234945406251	2.63333478601321	3.13685757464899	1.58375324535046
Solyc01g056850.3	12.1525049251782	11.8851318140677	12.2747204631049	11.8606076578758	10.9982681910257	10.6286222705158	10.9307108873136	10.8207575700179
Solyc01g057000.3	7.71869823395705	8.0356231051199	8.31040151536856	8.00826075044021	9.22237243637342	10.5436448793751	8.84546834440103	10.2882060335715
Solyc01g057160.1	3.53339221607955	4.05362934585805	3.82635149253139	4.31614001479862	4.91798640988915	5.05608182839405	5.28561662247717	4.39058960466318
